location_resolved,display_date,title,harga,Merek,Model,Varian,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Tipe bodi,Kapasitas mesin,Tipe Penjual,Nama Bursa Mobil
Wates,2022-12-22T07:40:51+0000,Toyota Raize GR Sport a/t 2022 Putih,225000000.0,Toyota,Raize,mobil-bekas-toyota-raize-1.0-t-gr-sport-one-tone-bensin,2021,10.000-15.000,Bensin,Putih,Automatic Triptonic,SUV,>1.000 - 1.500 cc,Individu,
Gondokusuman,2022-12-22T07:40:29+0000,[TIPE AUTOMATIC] Toyota Yaris 1.5 G a/t 2015 Merah,149000000.0,Toyota,Yaris,toyota-yaris-67592-g,2015,40.000-45.000,Bensin,Merah,Automatic,Compact & City Car,>1.000 - 1.500 cc,Individu,
Sewon,2022-12-22T07:40:28+0000,[KILOMETER RENDAH] Toyota Yaris 1.5 G a/t 2015 Merah,149000000.0,Toyota,Yaris,toyota-yaris-67592-g,2015,40.000-45.000,Bensin,Merah,Automatic,Compact & City Car,>1.000 - 1.500 cc,Individu,
Wonosari,2022-12-22T07:40:27+0000,[DP HANYA 19 JUTA] Toyota Yaris 1.5 G a/t 2015 Merah,149000000.0,Toyota,Yaris,toyota-yaris-67592-g,2015,40.000-45.000,Bensin,Merah,Automatic,Compact & City Car,>1.000 - 1.500 cc,Individu,
Ngaglik,2022-12-15T10:32:44+0000,Altis 2.0 tipe V 2010,139000000.0,Toyota,Corolla Altis,2.0 V Bensin-AT,2010,75.000-80.000,Bensin,Hitam,Automatic,Sedan,>1.500 - 2.000 cc,Individu,
Berbah,2022-12-22T05:48:57+0000,[OLX Autos] Toyota Kijang Innova 2015 2.5 G Solar A/T Silver #Rakjat A,240000000.0,Toyota,Kijang Innova,2.5 G Solar,2015,85.000-90.000,Diesel,Silver,Automatic,MPV,>2.000 - 3.000 cc,Individu,
Jetis,2022-10-15T05:05:24+0000,(Dp10jt) Avanza 1.3 Veloz Mt 2020 ORISINIL Kredit Murah,190000000.0,Toyota,Avanza,1.3 Veloz Bensin-MT,2020,20.000-25.000,Bensin,Putih,Manual,MPV,>1.000 - 1.500 cc,Diler,
Kotagede,2022-12-22T05:43:41+0000,[OLX Autos] [DP20JT] Yaris 1.5 E Automatic 2012 Hitam #DCARS,125000000.0,Toyota,Yaris,1.5 E Bensin-AT,2012,90.000-95.000,Bensin,Hitam,Automatic,Hatchback,>1.000 - 1.500 cc,Individu,
Depok,2022-12-22T07:40:22+0000,[OLX Autos] Toyota Land Cruiser 4.2 2003 AT Hitam #KK Mobil,788000000.0,Toyota,Land Cruiser,4.2 Solar,2003,250.000-255.000,Diesel,Hitam,Automatic,SUV,>3.000 cc,Individu,
Wonosari,2022-12-22T07:40:18+0000,[TIPE GR SPORT] Toyota Raize GR Sport a/t 2021 Putih,225000000.0,Toyota,Raize,mobil-bekas-toyota-raize-1.0-t-gr-sport-one-tone-bensin,2021,10.000-15.000,Bensin,Putih,Automatic Triptonic,SUV,>1.000 - 1.500 cc,Individu,
Wates,2022-12-22T07:40:17+0000,[PAJAK PANJANG] Yaris TRD Sportivo m/t 2012 Silver,121000000.0,Toyota,Yaris,toyota-yaris-67596-trd-sportivo,2012,85.000-90.000,Bensin,Abu-abu,Manual,Compact & City Car,>1.000 - 1.500 cc,Individu,
Depok,2022-12-22T07:40:11+0000,[OLXAutos] Toyota Camry 2.5 V Bensin a/t 2014 Hitam,221000000.0,Toyota,Camry,2.5 V Bensin-AT,2014,55.000-60.000,Bensin,Hitam,Automatic,Sedan,>2.000 - 3.000 cc,Individu,
Gondomanan,2022-12-22T07:40:10+0000,[DP MULAI 26 JUTA] Toyota Camry 2.5 V Bensin a/t 2014 Hitam,221000000.0,Toyota,Camry,2.5 V Bensin-AT,2014,55.000-60.000,Bensin,Hitam,Automatic,Sedan,>2.000 - 3.000 cc,Individu,
Sewon,2022-12-22T07:40:08+0000,[KONDISI ISTIMEWA] Toyota Camry 2.5 V Bensin a/t 2014,221000000.0,Toyota,Camry,2.5 V Bensin-AT,2014,55.000-60.000,Bensin,Hitam,Automatic,Sedan,>2.000 - 3.000 cc,Individu,
Wates,2022-12-22T07:40:06+0000,[PAJAK PANJANG] Toyota Camry 2.5 V Bensin a/t 2014 Hitam,221000000.0,Toyota,Camry,2.5 V Bensin-AT,2014,55.000-60.000,Bensin,Hitam,Automatic,Sedan,>2.000 - 3.000 cc,Individu,
Depok,2022-12-22T07:39:33+0000,[OLXAutos] Toyota Rush 1.5 TRD Sportivo a/t 2019 Hitam,211000000.0,Toyota,Rush,1.5 S Bensin-AT,2019,30.000-35.000,Bensin,Hitam,Automatic,SUV,>1.000 - 1.500 cc,Individu,
Mantrijeron,2022-12-22T07:39:32+0000,[KILOMETER RENDAH] Toyota Rush 1.5 TRD Sportivo a/t 2019 Hitam,211000000.0,Toyota,Rush,1.5 S Bensin-AT,2019,30.000-35.000,Bensin,Hitam,Automatic,SUV,>1.000 - 1.500 cc,Individu,
Bantul,2022-12-22T07:39:31+0000,[KONDISI ISTIMEWA] Toyota Rush 1.5 TRD Sportivo a/t 2019 Hitam,211000000.0,Toyota,Rush,1.5 S Bensin-AT,2019,30.000-35.000,Bensin,Hitam,Automatic,SUV,>1.000 - 1.500 cc,Individu,
Wonosari,2022-12-22T07:39:30+0000,Toyota Rush 1.5 TRD Sportivo a/t 2019 Hitam,211000000.0,Toyota,Rush,1.5 S Bensin-AT,2019,30.000-35.000,Bensin,Hitam,Automatic,SUV,>1.000 - 1.500 cc,Individu,
Wates,2022-12-22T07:39:29+0000,[BEBAS BANJIR DAN NABRAK] Toyota Rush 1.5 TRD Sportivo a/t 2019 Hitam,211000000.0,Toyota,Rush,1.5 S Bensin-AT,2019,30.000-35.000,Bensin,Hitam,Automatic,SUV,>1.000 - 1.500 cc,Individu,
Wonosari,2022-12-22T07:11:09+0000,Toyota Kijang Innova 2015 Diesel,225000000.0,Toyota,Kijang Innova,2.4 G Solar-MT,2015,155.000-160.000,Diesel,Hitam,Manual,,,Individu,
Ngaglik,2022-12-22T07:09:07+0000,[OLX AUTOS] Toyota Kijang Innova 2.0 V Bensin Automatic-2013 Silver,168000000.0,Toyota,Kijang Innova,kijang-innova-2.0-v-bensin,2013,110.000-115.000,Bensin,Silver,Automatic,MPV,>1.500 - 2.000 cc,,
Umbulharjo,2022-12-22T07:08:55+0000,[OLX AUTOS] Toyota Kijang Innova 2.0 V Bensin Automatic-2013 Silver,168000000.0,Toyota,Kijang Innova,kijang-innova-2.0-v-bensin,2013,110.000-115.000,Bensin,Silver,Automatic,MPV,>1.500 - 2.000 cc,,
Depok,2022-12-22T07:06:30+0000,Innova V Diesel Matic 2013,264000000.0,Toyota,Kijang Innova,2.4 V Solar-AT,2013,120.000-125.000,Diesel,Hitam,Automatic,MPV,>2.000 - 3.000 cc,Individu,Bursa AXC summarecon bekasi
Banguntapan,2022-12-20T12:40:19+0000,Avanza 2017 G Manual Dp29JT,159000000.0,Toyota,Avanza,1.3 G Bensin-MT,2017,90.000-95.000,Bensin,Hitam,Manual,MPV,>1.000 - 1.500 cc,Diler,
Gondomanan,2022-11-27T01:28:47+0000,(Dp17jt) Yaris Heykers Manual 2017 Orisinil Kredit Murah,169000000.0,Toyota,Yaris,Heykers,2017,60.000-65.000,Bensin,Abu-abu,Manual,Compact & City Car,>1.000 - 1.500 cc,Diler,
Jetis,2022-12-21T02:23:35+0000,[OLX Autos] [DP8JT] Toyota Yaris 1.5 TRD Sportivo AT 2018 Hitam #DCARS,193000000.0,Toyota,Yaris,toyota-yaris-67596-trd-sportivo,2018,45.000-50.000,Bensin,Hitam,Automatic,Hatchback,>1.000 - 1.500 cc,Individu,
Depok,2022-12-22T02:43:01+0000,TDp15jt/ Yaris S manual 2011 siap pake,110000000.0,Toyota,Yaris,1.5 S Bensin-MT,2011,80.000-85.000,Bensin,Abu-abu,Manual,,,,
Gondokusuman,2022-12-22T07:05:45+0000,[OLX AUTOS] Toyota Calya 1.2 G Bensin Manual-2019,130000000.0,Toyota,Calya,1.2 G Bensin,2019,10.000-15.000,Bensin,Merah,Manual,MPV,>1.500 - 2.000 cc,Diler,
Gondokusuman,2022-12-22T07:05:31+0000,[OLX AUTOS] Toyota Calya 1.2 G Bensin Manual-2019,125000000.0,Toyota,Calya,toyota-calya-67436-g,2019,10.000-15.000,Bensin,Merah,Manual,MPV,>1.500 - 2.000 cc,Diler,
Tempel,2022-12-22T06:55:32+0000,avanza g th 2014,132500000.0,Toyota,Avanza,1.3 G Bensin-MT,2014,180.000-185.000,Bensin,Hitam,Manual,Minibus,>1.000 - 1.500 cc,Diler,
Umbulharjo,2022-12-22T06:21:02+0000,Veloz 2020 istimewa,200000000.0,Toyota,Avanza,1.3 Veloz Bensin-MT,2020,55.000-60.000,Bensin,Putih,Manual,MPV,>1.000 - 1.500 cc,Individu,
Sewon,2022-12-22T06:21:02+0000,Altis V Matic 2015,225000000.0,Toyota,Corolla Altis,V 1.8-AT,2015,65.000-70.000,Bensin,Putih,Automatic,Sedan,>1.500 - 2.000 cc,Individu,
Depok,2022-12-22T06:02:12+0000,Nav1 V 2013 pajak panjang dp 25jt,165000000.0,Toyota,Nav1,2.0 V Bensin-AT,2013,125.000-130.000,Bensin,Hitam,Automatic,Minibus,>1.500 - 2.000 cc,,
Piyungan,2022-12-22T05:58:30+0000,Kijang LGX 1.8 Th'1997 manual,65900000.0,Toyota,Kijang,1.8 Bensin-MT,1997,>300.000,Bensin,Biru,Manual,,>1.500 - 2.000 cc,Diler,
Piyungan,2022-12-22T05:58:28+0000,Rush G Up S Trd Sportivo A/T Th’2018 Tgn-1 Beli Dari Baru,189900000.0,Toyota,Rush,1.5 G Bensin,2018,60.000-65.000,Bensin,Silver,Automatic,,>1.000 - 1.500 cc,Diler,
Depok,2022-12-22T05:56:27+0000,[OLXAutos] Toyota Yaris 2012 1.5 TRD Sportivo Bensin M/T Silver,121000000.0,Toyota,Yaris,1.5 TRD Sportivo Bensin-MT,2012,85.000-90.000,Bensin,Silver,Manual,Hatchback,>1.000 - 1.500 cc,Diler,
Banguntapan,2022-12-22T05:55:58+0000,"[OLX Autos] Toyota Yaris 2015 1.5 G Solar A/T Merah, #Dwi Jaya M",149000000.0,Toyota,Yaris,1.5 G Bensin-AT,2015,40.000-45.000,Bensin,Merah,Automatic,Hatchback,>1.000 - 1.500 cc,Individu,
Kraton,2022-12-22T05:53:50+0000,(DP 30 JT) INNOVA 2.0 G 2012,165000000.0,Toyota,Kijang Innova,2.0 G Bensin,2012,20.000-25.000,Bensin,Abu-abu,Automatic,MPV,>1.500 - 2.000 cc,Diler,
Kraton,2022-12-22T05:53:33+0000,(DP 30 JT) INNOVA 2.0 Q 2016,280000000.0,Toyota,Kijang Innova,2.0 Q Bensin-AT,2016,30.000-35.000,Bensin,Silver,Automatic,MPV,>1.500 - 2.000 cc,Diler,
Kraton,2022-12-22T05:53:27+0000,(DP 30 JT) YARIS S TRD 2015,168000000.0,Toyota,Yaris,1.5 TRD Sportivo Bensin-AT,2015,25.000-30.000,Bensin,Hitam,Automatic,Hatchback,>1.000 - 1.500 cc,Diler,
Kraton,2022-12-22T05:53:11+0000,(DP 25 JT) INNOVA 2.0 V AT 2014,200000000.0,Toyota,Kijang Innova,2.0 V Bensin-AT,2014,35.000-40.000,Bensin,Abu-abu,Automatic,,>1.500 - 2.000 cc,Diler,
Mlati,2022-12-22T05:47:12+0000,Fortuner TRD diesel at 2014 low km,305000000.0,Toyota,Fortuner,2.5 G TRD Solar-AT,2014,60.000-65.000,Diesel,Putih,Automatic,SUV,>2.000 - 3.000 cc,Individu,
Mlati,2022-12-22T05:46:29+0000,[DP 5jt !!] YARIS TRD SPORTIVO 1.5 MT 2019 Hitam [Keyless],210000000.0,Toyota,Yaris,1.5 TRD Sportivo Bensin-MT,2019,15.000-20.000,Bensin,Hitam,Manual,,,,
Kraton,2022-12-20T05:51:27+0000,[OLX Autos] Toyota Land Cruiser 3.0 Solar Automatic 2000 #RROtomotif,615000000.0,Toyota,Land Cruiser,3.0 Solar-AT,2000,50.000-55.000,Diesel,Hijau,Automatic,,>2.000 - 3.000 cc,Individu,
Depok,2022-12-19T21:55:02+0000,[OLX AUTOS] Toyota Kijang Innova 2.0 V Bensin Automatic-2013 Silver,168000000.0,Toyota,Kijang Innova,2.0 G Bensin-AT,2013,110.000-115.000,Bensin,Silver,Automatic,MPV,>1.500 - 2.000 cc,,
Wirobrajan,2022-12-22T05:15:57+0000,[OLX Autos] Toyota Calya 1.2 G Bensin MT 2018 Hitam #ABAutoGallery,124000000.0,Toyota,Calya,1.2 G Bensin-MT,2018,40.000-45.000,Bensin,Hitam,Manual,,>1.000 - 1.500 cc,Individu,
Sleman,2022-12-20T06:18:27+0000,"[OLX Autos] Toyota Rush 2019 1.5 TRD Sportivo Bensin A/T Hitam, #Dwi J",211000000.0,Toyota,Rush,1.5 TRD Sportivo Bensin-AT,2019,30.000-35.000,Bensin,Hitam,Automatic,SUV,>1.000 - 1.500 cc,Individu,
Bantul,2022-12-22T05:45:36+0000,[OLX Autos] DP 5JT SAJA! Yaris 1.5 TRD Sportivo Manual 2019 #AR ROZZAQ,210000000.0,Toyota,Yaris,1.5 TRD Sportivo Bensin-MT,2019,20.000-25.000,Bensin,Hitam,Manual,,>1.000 - 1.500 cc,Individu,
Umbulharjo,2022-12-22T05:45:36+0000,[OLX Autos] TDP 5JT! Yaris 1.5 TRD Sportivo Manual 2019 #AR ROZZAQ,210000000.0,Toyota,Yaris,1.5 TRD Sportivo Bensin-MT,2019,20.000-25.000,Bensin,Hitam,Manual,,>1.000 - 1.500 cc,Individu,
Kotagede,2022-12-22T05:44:53+0000,[OLX Autos] Toyota Kijang Innova 2.4 V Automatic 2017 Putih,355000000.0,Toyota,Kijang Innova,kijang-innova-2.4-v-solar,2017,40.000-45.000,Diesel,Putih,Manual,Minibus,>2.000 - 3.000 cc,Individu,
Danurejan,2022-12-22T05:44:01+0000,[OLX Autos] Toyota Kijang Innova 2.4 V Automatic 2017 Putih #DCARS,359000000.0,Toyota,Kijang Innova,kijang-innova-2.4-v-solar,2017,40.000-45.000,Diesel,Putih,Automatic,MPV,>2.000 - 3.000 cc,Individu,
Kotagede,2022-12-22T05:43:28+0000,[OLX Autos] Toyota Fortuner 2.5 G TRD Solar AT 2013 Putih #DCARS,309999999.0,Toyota,Fortuner,2.5 G TRD Solar-AT,2013,75.000-80.000,Diesel,Putih,Automatic,,>2.000 - 3.000 cc,Individu,
Jetis,2022-12-22T05:43:21+0000,[OLX Autos] Toyota Calya 1.2 G Manual 2019 Abu Abu #DCARS,129999999.0,Toyota,Calya,1.2 G Bensin-MT,2019,55.000-60.000,Bensin,Abu-abu,Manual,,>1.000 - 1.500 cc,Individu,
Jetis,2022-12-22T05:43:16+0000,[OLX Autos] DP 15 JUTA Fortuner 2.4 VRZ Automatic 2016 #DCARS,365000000.0,Toyota,Fortuner,2.4 VRZ Solar-AT,2016,55.000-60.000,Diesel,Hitam,Automatic,,>2.000 - 3.000 cc,Individu,
Mlati,2022-12-22T05:36:01+0000,[VIP Dealer] Toyota Alphard S CBU 2.4 automatic 2012/2011,290000000.0,Toyota,Alphard,alphard-2.4-s-bensin,2012,100.000-105.000,Bensin,Hitam,Automatic,Minibus,>2.000 - 3.000 cc,Diler,
Kotagede,2022-12-22T05:22:49+0000,Innova Venturer diesel matic 2018 full nano ceramic di Jogja,416000000.0,Toyota,Kijang Innova,2.4 Venturer Solar-AT,2018,60.000-65.000,Diesel,Hitam,Automatic,Minibus,>2.000 - 3.000 cc,Diler,Carsentro Yogyakarta
Depok,2022-12-22T05:19:38+0000,[OLXAutos] Toyota Alphard 2012 2.5 G Bensin A/T Putih #Otodhemes,365000000.0,Toyota,Alphard,2.5 G Bensin-AT,2012,75.000-80.000,Bensin,Putih,Automatic,MPV,,Diler,
Depok,2022-12-22T05:19:34+0000,[OLXAutos] Toyota Alphard 2013 2.4 Bensin A/T Putih #Otodhemes,398000000.0,Toyota,Alphard,2.4 Bensin-AT,2013,105.000-110.000,Bensin,Putih,Automatic,MPV,>2.000 - 3.000 cc,Diler,
Depok,2022-12-22T05:19:32+0000,[OLXAutos] Toyota Vellfire 2018 2.5 G Bensin A/T Hitam #Otodhemes,890000000.0,Toyota,Vellfire,2.5 G Bensin-AT,2018,15.000-20.000,Bensin,Hitam,Automatic,MPV,>2.000 - 3.000 cc,Diler,
Depok,2022-12-22T05:19:09+0000,[OLXAutos] Toyota Hardtop 3.0 Solar Manual 1983 #RR Otomotif,900000000.0,Toyota,Hard Top,hard-top-3.0-solar,<1986,150.000-155.000,Diesel,Hijau,Manual,,>2.000 - 3.000 cc,Diler,
Depok,2022-12-22T05:19:09+0000,[OLXAutos] Toyota Land Cruiser 3.0 Solar AT 2000 #RR Otomotif,615000000.0,Toyota,Land Cruiser,land-cruiser-3.0-solar,2000,50.000-55.000,Diesel,Hijau,Automatic,,>2.000 - 3.000 cc,Diler,
Depok,2022-12-22T05:19:07+0000,Fj45 asli pick up,750000000.0,Toyota,FJ Cruiser,,<1986,185.000-190.000,Bensin,Lainnya,Manual,Pick-up,>3.000 cc,Diler,Carsentro Yogyakarta
Lendah,2022-12-22T05:17:57+0000,[OLX Autos] Toyota Alphard 2012 2.5 G Bensin A/T Putih #Otodhemes,365000000.0,Toyota,Alphard,2.5 G Bensin-AT,2012,75.000-80.000,Bensin,Putih,Automatic,MPV,>2.000 - 3.000 cc,Individu,
Jetis,2022-09-28T05:00:51+0000,Kijang Innova 2.0 V At 2012 Low KM Orisinil Bisa Kredit,173000000.0,Toyota,Kijang Innova,2.0 V Bensin,2012,90.000-95.000,Bensin,Putih,Automatic,SUV,>1.500 - 2.000 cc,Diler,
Tegalrejo,2022-12-20T12:39:59+0000,Calya 2018 G Manual Dp19Jt,124000000.0,Toyota,Calya,toyota-calya-67436-g,2018,40.000-45.000,Bensin,Hitam,Manual,MPV,>1.000 - 1.500 cc,Diler,
Ngaglik,2022-11-25T12:54:50+0000,Toyota Rush 1.5 G MT 2015,158000000.0,Toyota,Rush,1.5 G Bensin-MT,2015,80.000-85.000,Bensin,Abu-abu,Manual,Jeep,>1.000 - 1.500 cc,Individu,
Gamping,2022-11-22T14:53:44+0000,Toyota FT86 - 2016,595000000.0,Toyota,FT86,Lain-lain-AT,2016,35.000-40.000,Bensin,Putih,Automatic,Sports & Super Car,>2.000 - 3.000 cc,Individu,
Nanggulan,2022-12-22T05:17:45+0000,[OLX Autos] Toyota Alphard 2013 2.4 Bensin A/T Putih #Otodhemes,398000000.0,Toyota,Alphard,2.4 Bensin-AT,2013,105.000-110.000,Bensin,Putih,Automatic,MPV,>2.000 - 3.000 cc,Individu,
Pengasih,2022-12-22T05:17:35+0000,[OLX Autos] Toyota Vellfire 2018 2.5 G Bensin A/T Hitam #Otodhemes,890000000.0,Toyota,Vellfire,2.5 G Bensin-AT,2018,15.000-20.000,Bensin,Hitam,Automatic,MPV,>1.500 - 2.000 cc,Individu,
Depok,2022-12-22T05:16:31+0000,[OLX Autos] Toyota Fortuner 2.4 VRZ TRD Solar Automatic 2019,459000000.0,Toyota,Fortuner,2.4 4x2 VRZ TRD Solar-AT,2019,85.000-90.000,Diesel,Hitam,Automatic,,>2.000 - 3.000 cc,Diler,
Imogiri,2022-12-22T05:15:57+0000,[OLX Autos] Toyota Calya 1.2 G Bensin MT 2018 Hitam #ABAutoGallery,124000000.0,Toyota,Calya,1.2 G Bensin-MT,2018,40.000-45.000,Bensin,Hitam,Manual,,>1.000 - 1.500 cc,Individu,
Sleman,2022-12-22T05:14:49+0000,[OLX Autos] Toyota Land Cruiser 3.0 Solar AT 2000 #RR Otomotif,615000000.0,Toyota,Land Cruiser,3.0 Solar-AT,2000,50.000-55.000,Diesel,Hijau,Automatic,,>2.000 - 3.000 cc,Individu,
Sleman,2022-12-22T05:14:49+0000,[OLX Autos] Toyota Hardtop 3.0 Solar Manual 1983 #RR Otomotif,750000000.0,Toyota,Hardtop,3.0 Solar-MT,<1986,150.000-155.000,Diesel,Hijau,Manual,,>2.000 - 3.000 cc,Individu,
Umbulharjo,2022-12-22T05:09:39+0000,[OLX Autos] Toyota Fortuner 2.4 4x2 VRZ TRD AT 2019 #Trisno Motor,470000000.0,Toyota,Fortuner,2.4 4x4 VRZ Solar,2019,5.000-10.000,Diesel,Hitam,Automatic,,>2.000 - 3.000 cc,Individu,
Ngaglik,2022-12-22T03:55:30+0000,"INNOVA VENTURER 2.4 DIESEL 2022 MATIC, TGN 1",498000000.0,Toyota,Kijang Innova,2.4 Venturer Solar-AT,2022,10.000-15.000,Diesel,Hitam,Automatic,Minibus,>2.000 - 3.000 cc,Diler,
Mlati,2022-12-22T03:40:01+0000,Toyota Yaris S TRD Heykers  2017 AT tgn 1 km 28rb,210000000.0,Toyota,Yaris,toyota-yaris-67597-trd-sportivo-heykers,2017,20.000-25.000,Bensin,Merah,Automatic Triptonic,Compact & City Car,>1.000 - 1.500 cc,,
Mlati,2022-12-22T03:39:37+0000,Toyota Raize 1.0 G Turbo 2021 MT km 7rb like new,219000000.0,Toyota,Raize,mobil-bekas-toyota-raize-1.0-turbo-g-bensin,2021,0-5.000,Bensin,Hitam,Manual,Compact & City Car,<1.000 cc,,
Bantul,2022-12-22T03:12:54+0000,[OLX AUTOS] Toyota Kijang Innova 2.0 V Bensin Automatic-2013 Silver,168000000.0,Toyota,Kijang Innova,kijang-innova-2.0-v-bensin,2013,110.000-115.000,Bensin,Silver,Automatic,MPV,>1.500 - 2.000 cc,,
Pengasih,2022-12-22T03:12:27+0000,[OLX AUTOS] Toyota Kijang Innova 2.0 V Bensin Automatic-2013 Silver,168000000.0,Toyota,Kijang Innova,kijang-innova-2.0-v-bensin,2013,110.000-115.000,Bensin,Silver,Automatic,MPV,>1.500 - 2.000 cc,,
Depok,2022-12-22T03:11:47+0000,[OLX AUTOS] Toyota Calya 1.2 G Bensin Manual-2019,125000000.0,Toyota,Calya,1.2 G Bensin-MT,2019,10.000-15.000,Bensin,Merah,Manual,MPV,>1.500 - 2.000 cc,,
Moyudan,2022-12-22T02:54:03+0000,[OLX AUTOS] Toyota Calya 1.2 G Bensin Manual-2019,125000000.0,Toyota,Calya,1.2 G Bensin-MT,2019,10.000-15.000,Bensin,Merah,Manual,MPV,>1.500 - 2.000 cc,,
Kraton,2022-12-22T02:53:50+0000,[OLX AUTOS] Toyota Rush 1.5 S Bensin Automatic-2021 Putih,236000000.0,Toyota,Rush,toyota-rush-67563-s,2021,25.000-30.000,Bensin,Putih,Automatic,MPV,>1.500 - 2.000 cc,,
Paliyan,2022-12-22T02:53:35+0000,[OLX AUTOS] Toyota Rush 1.5 S Bensin Automatic-2021 Putih,236000000.0,Toyota,Rush,toyota-rush-67563-s,2021,25.000-30.000,Bensin,Putih,Automatic,MPV,>1.500 - 2.000 cc,,
Pakualaman,2022-12-17T02:54:26+0000,Fortuner Vrz 2017 Dp9JT,379000000.0,Toyota,Fortuner,2.4 VRZ Solar,2017,65.000-70.000,Diesel,Putih,Automatic,SUV,>2.000 - 3.000 cc,Diler,
Sanden,2022-12-03T03:34:17+0000,TOYOTA SIENTA V AT MATIC 2018,188000000.0,Toyota,Sienta,1.5 V Bensin-AT,2018,45.000-50.000,Bensin,Hitam,Automatic,MPV,>1.000 - 1.500 cc,Diler,
